judul_film,tahun_film,durasi_film,batas_usia,sinopsis_film,rating_film,jumlah_perating
157. Roma,2018,2h 15m,R,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,7.7,(171K)
158. Badlands,1973,1h 34m,PG,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands.",7.7,(79K)
159. Miller's Crossing,1990,1h 55m,R,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",7.7,(143K)
160. The Man from Nowhere,2010,1h 59m,R,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,7.7,(76K)
161. Kubo and the Two Strings,2016,1h 41m,PG,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,7.7,(140K)
162. The Great Beauty,2013,2h 21m,Not Rated,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",7.7,(98K)
163. Cape Fear,1962,1h 46m,Approved,A lawyer's family is stalked by a man he once helped put in jail.,7.7,(32K)
164. The Day the Earth Stood Still,1951,1h 32m,G,"An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.",7.7,(87K)
165. Ordinary People,1980,2h 4m,R,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.",7.7,(58K)
166. The Dirty Dozen,1967,2h 30m,Approved,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",7.7,(80K)
167. My Dinner with Andre,1981,1h 50m,PG,"Two old friends meet for dinner; as one tells anecdotes detailing his experiences, the other notices their differing worldviews.",7.7,(27K)
168. Malcolm X,1992,3h 22m,PG-13,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam and his eventual assassination.",7.7,(103K)
169. My Fair Lady,1964,2h 50m,G,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make a crude flower girl, Eliza Doolittle, presentable in high society.",7.7,(103K)
170. Me and Earl and the Dying Girl,2015,1h 45m,PG-13,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",7.7,(140K)
171. Sorcerer,1977,2h 1m,PG,Four unfortunate men from different parts of the globe agree to risk their lives transporting gallons of nitroglycerin across dangerous Latin American jungle.,7.7,(29K)
172. Finding Neverland,2004,1h 46m,PG,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,7.7,(213K)
173. The Longest Day,1962,2h 58m,G,"The events of D-Day, told on a grand scale from both the Allied and German points of view.",7.7,(60K)
174. Breathless,1960,1h 30m,Not Rated,"A small-time crook, hunted by the authorities for a car theft and the murder of a police officer, attempts to persuade a hip American journalism student to run away with him to Italy.",7.7,(89K)
175. Mother,2009,2h 9m,R,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,7.7,(73K)
176. Hamlet,1996,4h 2m,PG-13,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",7.7,(40K)
177. The Quiet Man,1952,2h 9m,Approved,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",7.7,(43K)
178. The Verdict,1982,2h 9m,R,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.",7.7,(47K)
179. Night on Earth,1991,2h 9m,R,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,7.7,(67K)
180. Invasion of the Body Snatchers,1956,1h 20m,Approved,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,7.7,(56K)
181. Fantastic Planet,1973,1h 12m,PG,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",7.7,(38K)
182. Porco Rosso,1992,1h 34m,PG,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",7.7,(105K)
183. Open Your Eyes,1997,1h 59m,R,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",7.7,(74K)
184. Zulu,1964,2h 18m,Approved,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,7.7,(43K)
"185. South Park: Bigger, Longer & Uncut",1999,1h 21m,R,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",7.7,(217K)
186. Beasts of No Nation,2015,2h 17m,TV-MA,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",7.7,(88K)
187. Perfect Strangers,2016,1h 36m,N/A,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles.",7.7,(73K)
188. Fantasia,1940,2h 4m,G,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists.",7.7,(105K)
189. A Man for All Seasons,1966,2h,G,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",7.7,(38K)
190. Nebraska,2013,1h 55m,R,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",7.7,(125K)
191. Good Bye Lenin!,2003,2h 1m,R,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",7.7,(154K)
192. The African Queen,1951,1h 45m,PG,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship.",7.7,(85K)
193. Black Narcissus,1947,1h 41m,Approved,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.",7.7,(28K)
194. Waking Life,2001,1h 39m,R,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,7.7,(67K)
195. Confessions,2010,1h 46m,Not Rated,"Yuko, a teacher of middle-school, is shattered to see her four-year-old daughter dead. She returns back to the school and finds out that her students are responsible for her daughter's murder.",7.7,(43K)
196. Taste of Cherry,1997,1h 35m,Not Rated,An Iranian man drives his car in search of someone who will quietly bury him under a cherry tree after he commits suicide.,7.7,(38K)
197. After the Wedding,2006,2h,R,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",7.7,(38K)
198. The Motorcycle Diaries,2004,2h 6m,R,"Ernesto Guevara de la Serna, popularly known as Che, along with his friend Alberto Granado, decides to take a road trip across South America. His experiences on the journey transform him.",7.7,(105K)
199. Never Look Away,2018,3h 9m,R,"German artist Kurt Barnert has escaped East Germany and now lives in West Germany, but is tormented by his childhood under the Nazis and the GDR-regime.",7.7,(26K)
200. The Double Life of Véronique,1991,1h 38m,R,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",7.7,(54K)
